date,value
1999-01-31,100.0
1999-02-28,100.103448746933
1999-03-31,100.20686069275266
1999-04-30,100.31019905027087
1999-05-31,100.41342706014468
1999-06-30,100.51650800478572
1999-07-31,100.6194052222538
1999-08-31,100.72208212012947
1999-09-30,100.82450218936026
1999-10-31,100.9266290180754
1999-11-30,101.02842630536377
1999-12-31,101.12985787500975
2000-01-31,101.23088768918211
2000-02-29,101.33147986207032
2000-03-31,101.43159867346348
2000-04-30,101.53120858226644
2000-05-31,101.63027423994835
2000-06-30,101.72876050391815
2000-07-31,101.82663245082229
2000-08-31,101.9238553897593
2000-09-30,102.02039487540667
2000-10-31,102.11621672105454
2000-11-30,102.21128701154173
2000-12-31,102.30557211608884
2001-01-31,102.39903870102397
2001-02-28,102.49165374239574
2001-03-31,102.58338453846942
2001-04-30,102.6741987221008
2001-05-31,102.76406427298383
2001-06-30,102.85294952976665
2001-07-31,102.94082320203206
2001-08-31,103.0276543821375
2001-09-30,103.11341255691025
2001-10-31,103.19806761919334
2001-11-30,103.28158987923781
2001-12-31,103.3639500759371
2002-01-31,103.44511938789914
2002-02-28,103.52506944435216
2002-03-31,103.60377233587984
2002-04-30,103.68120062498217
2002-05-31,103.75732735645734
2002-06-30,103.83212606760152
2002-07-31,103.90557079822206
2002-08-31,103.97763610046053
2002-09-30,104.04829704842209
2002-10-31,104.11752924760712
2002-11-30,104.18530884414194
2002-12-31,104.25161253380489
2003-01-31,104.31641757084445
2003-02-28,104.379701776586
2003-03-31,104.4414435478241
2003-04-30,104.50162186499685
2003-05-31,104.56021630013964
2003-06-30,104.61720702461481
2003-07-31,104.67257481661466
2003-08-31,104.72630106843478
2003-09-30,104.77836779351513
2003-10-31,104.8287576332459
2003-11-30,104.87745386353592
2003-12-31,104.92444040114088
2004-01-31,104.9697018097491
2004-02-29,105.01322330582244
2004-03-31,105.05499076419034
2004-04-30,105.09499072339464
2004-05-31,105.13321039078323
2004-06-30,105.16963764735074
2004-07-31,105.2042610523242
2004-08-31,105.23706984749218
2004-09-30,105.2680539612756
2004-10-31,105.29720401253867
2004-11-30,105.3245113141387
2004-12-31,105.34996787621321
2005-01-31,105.37356640920319
2005-02-28,105.39530032661146
2005-03-31,105.4151637474949
2005-04-30,105.43315149868981
2005-05-31,105.44925911676928
2005-06-30,105.46348284973223
2005-07-31,105.47581965842305
2005-08-31,105.4862672176816
2005-09-30,105.49482391722312
2005-10-31,105.50148886224737
2005-11-30,105.50626187377745
2005-12-31,105.50914348872729
2006-01-31,105.51013495969863
2006-02-28,105.50923825450704
2006-03-31,105.50645605543721
2006-04-30,105.50179175822814
2006-05-31,105.4952494707881
2006-06-30,105.48683401164033
2006-07-31,105.47655090809968
2006-08-31,105.4644063941812
2006-09-30,105.45040740824112
2006-10-31,105.43456159035158
2006-11-30,105.41687727940959
2006-12-31,105.39736350998174
2007-01-31,105.37603000888554
2007-02-28,105.35288719150887
2007-03-31,105.327946157869
2007-04-30,105.30121868841226
2007-05-31,105.27271723955664
2007-06-30,105.24245493897818
2007-07-31,105.21044558064371
2007-08-31,105.1767036195913
2007-09-30,105.14124416646055
2007-10-31,105.104082981775
2007-11-30,105.06523646997827
2007-12-31,105.02472167322696
2008-01-31,104.98255626494198
2008-02-29,104.938758543121
2008-03-31,104.89334742341481
2008-04-30,104.84634243196965
2008-05-31,104.79776369803879
2008-06-30,104.74763194636579
2008-07-31,104.69596848934238
2008-08-31,104.64279521894406
2008-09-30,104.58813459844643
2008-10-31,104.53200965392521
2008-11-30,104.47444396554341
2008-12-31,104.41546165862883
2009-01-31,104.35508739454514
2009-02-28,104.29334636136039
2009-03-31,104.230264264316
2009-04-30,104.16586731610006
2009-05-31,104.10018222692878
2009-06-30,104.03323619443951
2009-07-31,103.96505689339945
2009-08-31,103.89567246523369
2009-09-30,103.82511150737686
2009-10-31,103.75340306245198
2009-11-30,103.68057660728105
2009-12-31,103.60666204173133
2010-01-31,103.53168967740137
2010-02-28,103.45569022615149
2010-03-31,103.37869478848263
2010-04-30,103.30073484176816
2010-05-31,103.22184222834326
2010-06-30,103.14204914345584
2010-07-31,103.06138812308434
2010-08-31,102.97989203162629
2010-09-30,102.89759404946277
2010-10-31,102.8145276604032
2010-11-30,102.73072663901542
2010-12-31,102.64622503784562
2011-01-31,102.56105717453326
2011-02-28,102.47525761882544
2011-03-31,102.38886117949612
2011-04-30,102.30190289117476
2011-05-31,102.21441800108951
2011-06-30,102.12644195572997
2011-07-31,102.03801038743458
2011-08-31,101.94915910090762
2011-09-30,101.85992405967109
2011-10-31,101.7703413724563
2011-11-30,101.6804472795408
2011-12-31,101.59027813903529
2012-01-31,101.49987041312605
2012-02-29,101.40926065427794
2012-03-31,101.31848549140335
2012-04-30,101.22758161600207
2012-05-31,101.13658576827758
2012-06-30,101.04553472323488
2012-07-31,100.95446527676512
2012-08-31,100.8634142317224
2012-09-30,100.77241838399793
2012-10-31,100.68151450859665
2012-11-30,100.59073934572206
2012-12-31,100.50012958687395
2013-01-31,100.40972186096471
2013-02-28,100.3195527204592
2013-03-31,100.2296586275437
2013-04-30,100.14007594032891
2013-05-31,100.05084089909236
2013-06-30,99.96198961256542
2013-07-31,99.87355804427003
2013-08-31,99.78558199891049
2013-09-30,99.69809710882524
2013-10-31,99.61113882050388
2013-11-30,99.52474238117456
2013-12-31,99.43894282546674
2014-01-31,99.35377496215438
2014-02-28,99.26927336098458
2014-03-31,99.1854723395968
2014-04-30,99.10240595053725
2014-05-31,99.02010796837371
2014-06-30,98.93861187691566
2014-07-31,98.85795085654416
2014-08-31,98.77815777165674
2014-09-30,98.69926515823182
2014-10-31,98.62130521151737
2014-11-30,98.54430977384851
2014-12-31,98.46831032259863
2015-01-31,98.39333795826867
2015-02-28,98.31942339271895
2015-03-31,98.24659693754802
2015-04-30,98.17488849262314
2015-05-31,98.10432753476631
2015-06-30,98.03494310660055
2015-07-31,97.96676380556049
2015-08-31,97.89981777307122
2015-09-30,97.83413268389994
2015-10-31,97.769735735684
2015-11-30,97.70665363863961
2015-12-31,97.64491260545486
2016-01-31,97.58453834137117
2016-02-29,97.52555603445659
2016-03-31,97.46799034607479
2016-04-30,97.41186540155357
2016-05-31,97.35720478105594
